球団 , 選手名 , 守備 , 生年月日 , 身長 , 体重
日本ハム , 田宮　裕涼 , 捕手 , 2000/06/13 , 175 , 77
日本ハム , 梅林　優貴 , 捕手 , 1998/03/14 , 173 , 85
日本ハム , 万波　中正 , 外野手 , 2000/04/07 , 191 , 95
日本ハム , 片岡　奨人 , 外野手 , 1997/11/16 , 184 , 78
日本ハム , 石川　亮 , 捕手 , 1995/07/20 , 181 , 87
日本ハム , 今井　順之助 , 内野手 , 1998/05/25 , 175 , 91
日本ハム , 宮田　輝星 , 外野手 , 1997/12/02 , 177 , 69
日本ハム , 樋口　龍之介 , 内野手 , 1994/07/04 , 168 , 84
日本ハム , 長谷川　凌汰 , 投手 , 1995/11/08 , 188 , 98
日本ハム , 海老原　一佳 , 外野手 , 1995/09/13 , 189 , 96
日本ハム , 高山　優希 , 投手 , 1998/05/17 , 181 , 82
日本ハム , 髙濱　祐仁 , 内野手 , 1996/08/08 , 185 , 90
オリックス , 選手名 , 守備 , 生年月日 , 身長 , 体重
オリックス , 勝俣　翔貴 , 内野手 , 1997/07/20 , 178 , 84
オリックス , 西浦　颯大 , 外野手 , 1999/05/21 , 178 , 70
オリックス , モヤ , 外野手 , 1991/08/09 , 201 , 117
オリックス , 佐藤　一磨 , 投手 , 2001/04/16 , 189 , 89
オリックス , 谷岡　楓太 , 投手 , 2001/08/29 , 176 , 82
オリックス , 白崎　浩之 , 内野手 , 1990/08/20 , 184 , 90
オリックス , 中田　惟斗 , 投手 , 2001/09/13 , 181 , 90
オリックス , 安達　了一 , 内野手 , 1988/01/07 , 179 , 78
オリックス , 福田　周平 , 内野手 , 1992/08/08 , 167 , 69
オリックス , 平野　大和 , 外野手 , 2001/08/07 , 177 , 82
オリックス , 鶴見　凌也 , 捕手 , 2001/11/22 , 174 , 75
オリックス , 西野　真弘 , 内野手 , 1990/08/02 , 167 , 71
オリックス , 宗　佑磨 , 外野手 , 1996/06/07 , 181 , 83
オリックス , 大下　誠一郎 , 外野手 , 1997/11/03 , 171 , 89
オリックス , 佐藤　優悟 , 外野手 , 1997/04/02 , 182 , 90
オリックス , 後藤　駿太 , 外野手 , 1993/03/05 , 180 , 83
オリックス , 松山　真之 , 投手 , 2000/08/18 , 174 , 76
オリックス , 大城　滉二 , 内野手 , 1993/06/14 , 175 , 82
オリックス , ジョーンズ , 外野手 , 1985/08/01 , 188 , 98
オリックス , 山﨑　福也 , 投手 , 1992/09/09 , 188 , 97
オリックス , 宮城　大弥 , 投手 , 2001/08/25 , 171 , 83
オリックス , 吉田　一将 , 投手 , 1989/09/24 , 191 , 95
オリックス , 荒西　祐大 , 投手 , 1992/08/25 , 178 , 88
オリックス , 増井　浩俊 , 投手 , 1984/06/26 , 181 , 77
オリックス , 山本　由伸 , 投手 , 1998/08/17 , 178 , 80
オリックス , 山岡　泰輔 , 投手 , 1995/09/22 , 172 , 68
オリックス , 近藤　大亮 , 投手 , 1991/05/29 , 177 , 77
オリックス , 竹安　大知 , 投手 , 1994/09/27 , 183 , 83
オリックス , 村西　良太 , 投手 , 1997/06/06 , 174 , 76
オリックス , 伏見　寅威 , 捕手 , 1990/05/12 , 182 , 88
オリックス , 紅林　弘太郎 , 内野手 , 2002/02/07 , 186 , 82
オリックス , 西村　凌 , 外野手 , 1996/02/21 , 178 , 84
オリックス , 東明　大貴 , 投手 , 1989/06/15 , 178 , 77
オリックス , アルバース , 投手 , 1985/10/06 , 185 , 91
オリックス , 富山　凌雅 , 投手 , 1997/05/03 , 178 , 84
オリックス , 田嶋　大樹 , 投手 , 1996/08/03 , 182 , 80
オリックス , Ｋ－鈴木 , 投手 , 1994/01/21 , 186 , 88
オリックス , 太田　椋 , 内野手 , 2001/02/14 , 181 , 81
オリックス , ディクソン , 投手 , 1984/11/03 , 195 , 84
オリックス , 松井　雅人 , 捕手 , 1987/11/19 , 179 , 81
オリックス , 吉田　正尚 , 外野手 , 1993/07/15 , 173 , 85
オリックス , 比嘉　幹貴 , 投手 , 1982/12/07 , 177 , 77
オリックス , 山足　達也 , 内野手 , 1993/10/26 , 174 , 76
オリックス , 若月　健矢 , 捕手 , 1995/10/04 , 179 , 90
オリックス , 小島　脩平 , 内野手 , 1987/06/05 , 177 , 78
オリックス , 小林　慶祐 , 投手 , 1992/11/02 , 187 , 86
オリックス , 佐野　皓大 , 外野手 , 1996/09/02 , 182 , 73
オリックス , ロドリゲス , 内野手 , 1991/11/18 , 191 , 95
オリックス , 前　佑囲斗 , 投手 , 2001/08/13 , 182 , 88
オリックス , 頓宮　裕真 , 捕手 , 1996/11/17 , 182 , 103
オリックス , 飯田　大祐 , 捕手 , 1990/09/19 , 181 , 85
オリックス , 本田　仁海 , 投手 , 1999/07/27 , 181 , 74
オリックス , 海田　智行 , 投手 , 1987/09/02 , 179 , 81
オリックス , 齋藤　綱記 , 投手 , 1996/12/18 , 182 , 89
オリックス , 澤田　圭佑 , 投手 , 1994/04/27 , 178 , 96
オリックス , 小田　裕也 , 外野手 , 1989/11/04 , 172 , 75
オリックス , ヒギンス , 投手 , 1991/04/22 , 190 , 97
オリックス , 宜保　翔 , 内野手 , 2000/11/26 , 175 , 72
オリックス , Ｔ－岡田 , 外野手 , 1988/02/09 , 187 , 100
オリックス , 松井　佑介 , 外野手 , 1987/07/10 , 185 , 87
オリックス , 山田　修義 , 投手 , 1991/09/19 , 184 , 90
オリックス , 金田　和之 , 投手 , 1990/09/18 , 184 , 86
オリックス , 根本　薫 , 外野手 , 1998/07/29 , 185 , 88
オリックス , 左澤　優 , 投手 , 1994/12/28 , 171 , 75
オリックス , 榊原　翼 , 投手 , 1998/08/25 , 180 , 90
オリックス , 山崎　勝己 , 捕手 , 1982/08/16 , 180 , 88
オリックス , 廣澤　伸哉 , 内野手 , 1999/08/11 , 175 , 74
オリックス , 漆原　大晟 , 投手 , 1996/09/10 , 182 , 85
オリックス , 吉田　凌 , 投手 , 1997/06/20 , 181 , 78
オリックス , 中川　圭太 , 内野手 , 1996/04/12 , 180 , 76
オリックス , 鈴木　優 , 投手 , 1997/02/05 , 181 , 83
オリックス , 神戸　文也 , 投手 , 1994/05/09 , 182 , 85
オリックス , 張　奕 , 投手 , 1994/02/26 , 182 , 86
オリックス , 杉本　裕太郎 , 外野手 , 1991/04/05 , 190 , 102
オリックス , 岡﨑　大輔 , 内野手 , 1998/09/17 , 182 , 75
オリックス , 稲富　宏樹 , 捕手 , 1999/04/27 , 178 , 83
オリックス , 黒木　優太 , 投手 , 1994/08/16 , 179 , 85
オリックス , 東　晃平 , 投手 , 1999/12/14 , 178 , 83
オリックス , 比屋根　彰人 , 内野手 , 1999/08/25 , 180 , 96
オリックス , フェリペ , 捕手 , 1999/09/04 , 176 , 76
オリックス , 山﨑　颯一郎 , 投手 , 1998/06/15 , 190 , 90
